Fc_uN,Ff_uN,theta_deg,max_v_Mises_Pa,max_disp_m,max_ep1
0.299,0.15,60.0,13776143.6732635,2.61706269860126e-06,0.0070771009381498
0.301,0.15,60.0,13912638.905953,2.74039360302586e-06,0.0071474053648419
0.299,0.149,60.0,13842903.6521364,2.73474195687478e-06,0.0071124278642369
0.299,0.151,60.0,13709896.9438387,2.499616471591e-06,0.0070420304538722
0.301,0.149,60.0,13978891.5703895,2.85777276700848e-06,0.0071824549756711
0.301,0.151,60.0,13846913.6222621,2.62323684219961e-06,0.0071126193406793
0.5,0.249,60.0,21255980.1294718,3.18460681243912e-06,0.0108010296291151
0.5,0.251,60.0,21202979.2042895,3.01991594616421e-06,0.0107739676898332
0.499,0.25,60.0,21171006.3144303,3.05905541113667e-06,0.0107585588034557
0.501,0.25,60.0,21276364.2197497,3.14461636898526e-06,0.0108109927227645
0.499,0.249,60.0,21190280.0010607,3.1411143219602e-06,0.0107687097490344
0.499,0.251,60.0,21158261.0172787,2.9774955866696e-06,0.0107514894765844
0.501,0.249,60.0,21281463.7211972,3.22569719409757e-06,0.0108144668600011
0.501,0.251,60.0,21247611.0324634,3.06223571423293e-06,0.010796398886039
0.3,0.249,60.0,21639004.5173989,7.89848329883345e-06,0.0112537816069448
0.3,0.251,60.0,22111588.3350039,8.08969548554898e-06,0.0114940784271601
0.299,0.25,60.0,22035954.6028027,8.06598119382312e-06,0.0114554118277179
0.301,0.25,60.0,21715341.5034232,7.92259139390644e-06,0.0112928354997693
0.299,0.249,60.0,21798898.2398676,7.96999198581841e-06,0.0113348989371898
0.299,0.251,60.0,22272299.3541246,8.16141184472754e-06,0.0115755119288674
0.301,0.249,60.0,21479629.6496649,7.82714175744164e-06,0.0111728940969514
0.301,0.251,60.0,21950794.8705401,8.01776730851203e-06,0.0114125835707165
